resume_text,label
"Python developer with 5 years experience in data analysis, machine learning, SQL databases, and building data pipelines. Expert in pandas, scikit-learn, and TensorFlow. Led team of 3 analysts.",1
"Senior data scientist specializing in NLP and predictive modeling. PhD in Statistics. Published 5 papers on deep learning. Proficient in Python, R, and cloud platforms AWS and GCP.",1
"Machine learning engineer with expertise in neural networks, computer vision, and MLOps. Strong background in PyTorch, Docker, Kubernetes. Built production ML systems serving 1M+ users.",1
"Entry level data analyst familiar with Excel and basic SQL queries. Completed online course in data analytics. Looking for first professional opportunity in tech.",0
"Full stack web developer with React, Node.js, MongoDB experience. Built e-commerce websites and REST APIs. Some exposure to Python scripting for automation.",0
"Business analyst with 3 years experience in financial services. Strong Excel and PowerPoint skills. Created dashboards in Tableau. MBA graduate.",0
"Data engineer specializing in ETL pipelines, Apache Spark, and data warehousing. Expert in SQL, Python, and Airflow. Built scalable data infrastructure for Fortune 500.",1
"Junior software developer with Java and C++ background. Completed bootcamp in web development. Interested in transitioning to data science field.",0
"Research scientist with 10 years in computational biology. Expert in statistical modeling, R programming, and bioinformatics. Published 20+ peer-reviewed papers.",1
"Marketing coordinator with experience in social media analytics. Used Google Analytics and basic data visualization. Bachelor's in Communications.",0
"AI/ML specialist with deep expertise in transformer models, reinforcement learning, and distributed computing. Google certified TensorFlow developer. 8 years industry experience.",1
"Customer service representative looking to break into tech. Self-taught in Python basics and SQL fundamentals. Completed Coursera data science specialization.",0
"Quantitative analyst with strong Python and statistical modeling skills. Experience in time series analysis and algorithmic trading. MS in Financial Engineering.",1
"Administrative assistant with proficiency in Microsoft Office suite. Organized data entry and report generation. 5 years experience in corporate environment.",0
"Deep learning researcher specializing in GANs and diffusion models. PhD from Stanford. Published at NeurIPS and ICML. Expert in PyTorch and JAX.",1
"Sales representative with CRM experience. Analyzed sales data in Excel. Strong communication and presentation skills. Bachelor's in Business Administration.",0
"Software engineer with machine learning focus. Built recommendation systems and search algorithms. Proficient in Python, Java, and cloud services. 6 years experience.",1
"Graphic designer with Adobe Creative Suite expertise. Some experience with data visualization in Tableau. Bachelor's in Fine Arts.",0
"Data analyst with strong SQL and Python skills. Experience with pandas, matplotlib, and statistical analysis. Built automated reporting systems. 4 years experience.",1
"HR coordinator familiar with HRIS systems and employee data management. Basic Excel skills for reporting. Bachelor's in Human Resources.",0
"Computer vision engineer with expertise in object detection, segmentation, and image classification. Strong OpenCV and PyTorch skills. Published research at CVPR.",1
"Retail manager with inventory analysis experience. Used POS systems and basic reporting tools. Associate's degree in Business Management.",0
"NLP engineer specializing in text classification, named entity recognition, and sentiment analysis. Expert in spaCy, BERT, and transformer architectures. MS in Computational Linguistics.",1
"Accountant with financial reporting experience. Strong Excel and QuickBooks skills. CPA certified. Some exposure to data analytics tools.",0
"MLOps engineer with expertise in model deployment, monitoring, and CI/CD pipelines. Proficient in Docker, Kubernetes, MLflow, and cloud platforms. Built end-to-end ML infrastructure.",1
"Teacher transitioning to tech. Completed Python bootcamp and data analytics certificate. Strong analytical thinking and problem-solving skills.",0
"Principal data scientist leading team of 10. Expert in experimental design, causal inference, and advanced statistical methods. Published author and conference speaker.",1
"Warehouse supervisor with inventory tracking experience. Used basic database systems for logistics. High school diploma with vocational training.",0
"Applied scientist at FAANG company specializing in large-scale machine learning and recommendation systems. PhD in Computer Science. Expert in distributed systems and optimization.",1
"Barista with customer service experience. Self-learning programming through online resources. Interested in data-driven decision making.",0
"Statistician with expertise in Bayesian methods, A/B testing, and experimental design. Strong R and Python skills. MS in Statistics. 5 years in tech industry.",1
"Project manager with Agile certification. Coordinated software development teams. Basic understanding of technical concepts but limited hands-on coding experience.",0
"Feature engineer specializing in feature stores, real-time features, and ML pipelines. Expert in Feast, dbt, and Spark. Built features serving billions of predictions daily.",1
"Legal assistant with document analysis experience. Basic proficiency in legal research databases. Bachelor's in Political Science.",0
"Time series forecasting specialist with expertise in ARIMA, Prophet, and neural forecasting. Strong Python and SQL skills. Built demand forecasting systems for retail.",1
"Receptionist with data entry experience. Familiar with spreadsheets and basic database input. High school diploma.",0
"Research engineer at AI startup working on foundation models. Expert in distributed training, RLHF, and model optimization. Published at top ML venues.",1
"Event coordinator with budget tracking experience. Used Excel for expense management. Bachelor's in Hospitality Management.",0
"Analytics engineer with dbt, SQL, and data modeling expertise. Built analytics infrastructure for multiple startups. Strong communication and stakeholder management skills.",1
"Cashier with point-of-sale system experience. Basic math skills and attention to detail. Looking for career advancement opportunities.",0
"Junior machine learning engineer with Python and scikit-learn experience. Built classification models and worked on feature engineering in internship setting.",1
